3.205,-3.014,0.035,1.23E+00,5760,,,,,,,
3.205,-3.014,0.035,6.00E-03,4450,,,,,,,
2.972,-2.994,-0.077,1.04E-03,2680,,,,,,,
4.935,3,1.388,1.00E-03,2850,,,,,,,
-1.897,-3.904,6.481,1.30E-01,2510,,,,,,,
-3.358,-0.32,7.594,1.44E-03,3190,,,,,,,
-5.895,-6.152,-1.167,2.03E+00,9500,,,,,,,
-5.895,-6.152,-1.167,2.20E-02,5000,,,,,,,
-2.138,0.219,-8.276,1.50E-01,2680,,,,,,,
-2.138,0.219,-8.276,1.40E-01,2510,,,,,,,
3.102,-0.82,-13.853,4.80E-01,2850,,,,,,,
-0.467,6.147,-14.036,1.10E-01,2680,,,,,,,
10.273,-12.895,-22.666,1.20E-03,6000,,,,,,,
15.542,-13.606,-73.894,6.70E-04,8000,,,,,,,
-13.621,23.569,-23.909,8.50E-04,5050,,,,,,,
4.548,-14.349,-46.735,8.20E-04,6150,,,,,,,
-27.855,30.356,-15.249,1.20E-03,6150,,,,,,,
-14.089,11.983,-15.855,1.20E-03,4900,,,,,,,
-3.718,0.678,-11.285,2.10E-03,5280,,,,,,,
12.721,-38.965,-58.349,1.30E-03,7350,,,,,,,
0.762,-16.046,-31.769,7.30E-04,5050,,,,,,,
-24.237,-10.966,-66.404,7.70E-04,5840,,,,,,,
-27.94,19.563,-4.144,1.30E-03,5920,,,,,,,
3.422,-26.258,-29.348,7.00E-04,5760,,,,,,,
-22.029,0.518,-20.17,1.00E-03,5520,,,,,,,
3.432,-26.212,-29.213,7.60E-04,5840,,,,,,,
-3.789,-10.432,-16.361,1.40E-03,5520,,,,,,,
-6.923,-1.845,-7.677,2.50E-03,4750,,,,,,,
-33.591,-3.226,-29.395,1.10E-03,6150,,,,,,,
-2.782,-30.341,-22.707,8.50E-04,6300,,,,,,,
-3.474,-9.775,-7.464,6.92E-04,3530,,,,,,,
-15.85,-7.713,-5.812,1.15E-03,3360,,,,,,,
-18.107,-4.407,-3.027,1.70E-01,2850,,,,,,,
-11.073,-53.086,-31.828,6.75E-04,8500,,,,,,,
-12.223,-13.182,-5.603,8.50E-04,3360,,,,,,,
7.035,-28.1,-16.012,9.00E-04,5520,,,,,,,
-50.766,6.538,16.743,1.03E+00,5920,,,,,,,
-17.34,-0.89,4.7,4.10E-01,3020,,,,,,,
-53.993,-10.281,12.354,1.03E+00,5920,,,,,,,
-10.231,-6.581,2.346,3.80E-01,3020,,,,,,,
-30.055,-6.724,13.719,7.20E-03,5050,,,,,,,
-23.456,-32.196,9.86,7.10E-04,5360,,,,,,,
-48.623,-14.125,30.505,6.30E-04,6450,,,,,,,
-9.545,-2.921,6.345,1.10E-01,2510,,,,,,,
-32.736,18.413,27.49,6.30E-04,5840,,,,,,,
-7.258,-35.527,2.212,8.10E-01,4900,,,,,,,
-21.649,-24.334,25.469,7.70E-01,4600,,,,,,,
-38.318,4.728,46.062,8.20E-04,5920,,,,,,,
-27.869,-7.727,39.027,7.90E-04,5760,,,,,,,
-9.335,2.338,12.642,1.15E-03,4000,,,,,,,
-9.801,-46.563,28.889,6.50E-01,4000,,,,,,,
-7.453,-5.51,13.04,4.20E-01,3020,,,,,,,
-69.223,1.672,106.637,2.14E+00,6300,,,,,,,
-23.117,11.162,33.122,8.00E-04,6150,,,,,,,
-20.091,1.436,41.251,8.30E-04,5920,,,,,,,
-8.589,-0.572,29.904,9.00E-04,5280,,,,,,,
-8.265,11.055,10.885,3.00E-01,3020,,,,,,,
0.149,-5.506,9.394,2.10E-01,2850,,,,,,,
-3.509,-11.208,34.22,1.32E-03,9000,,,,,,,
8.885,-25.757,19.022,1.25E-03,4300,,,,,,,
13.591,-35.225,29.914,8.60E-04,7350,,,,,,,
-4.736,4.797,26.454,1.23E-03,5920,,,,,,,
2.042,1.692,29.743,1.21E-03,5920,,,,,,,
15.602,-11.186,55.316,1.00E+00,5920,,,,,,,
13.52,-14.585,19.441,1.16E-03,5440,,,,,,,
-78.73,124.585,94.304,8.70E-01,6300,,,,,,,
15.612,-5.989,56.657,1.00E-03,5760,,,,,,,
12.985,3.517,34.159,2.60E-02,4750,,,,,,,
31.831,-6.878,47.274,9.30E-01,5840,,,,,,,
15.524,-1.122,13.268,3.80E-01,3190,,,,,,,
16.924,-8.463,4.046,2.90E-01,3020,,,,,,,
26.741,7.643,26.395,1.10E-03,5920,,,,,,,
12.674,1.079,5.631,3.00E-01,3020,,,,,,,
19.356,4.099,7.56,3.00E-01,3020,,,,,,,
14.196,-3.846,-1.64,4.40E-01,3020,,,,,,,
34.966,25.517,17.527,2.00E-03,8500,,,,,,,
15.903,-3.713,-1.967,2.70E-01,3020,,,,,,,
-1.867,12.387,7.824,4.50E-01,3020,,,,,,,
9.113,22.125,8.215,3.78E-03,9750,,,,,,,
9.285,2.179,-1.711,2.00E-01,3020,,,,,,,
16.909,-1.87,-7.415,2.40E-01,2850,,,,,,,
-3.451,17.103,7.025,2.00E-03,5050,,,,,,,
11.036,12.327,-2.728,2.95E-03,8000,,,,,,,
14.521,-8.277,-10.832,1.81E-03,5280,,,,,,,
16.816,-1.332,-11.18,8.50E-04,3530,,,,,,,
9.071,1.062,-9.065,1.54E-03,3530,,,,,,,
10.802,-2.029,-11.762,6.70E-04,3360,,,,,,,
7.171,-2.848,-8.965,3.56E-03,4300,,,,,,,
-3.089,15.746,-3.711,3.80E-01,3020,,,,,,,
4.535,6.247,-13.255,3.90E-01,3020,,,,,,,
9.506,4.267,-22.8,2.08E-03,9000,,,,,,,
-0.604,41.138,-28.585,7.70E-04,5760,,,,,,,
4.145,0.706,-9.871,1.39E-03,3190,,,,,,,
