ComponentID,JSON_Short,JSON_All,Name,Star_Name2,Star_Name3,NameQuality?,StarNameLen,HasSpaces,Has+-,Mass,Diameter,MassKG,DiamKM,IsClosed,LastUpdated,MassSource,DiameterSource,IsDiameterArcsec,Star_RA,Star_DEC,theta,phi,loc_x,loc_y,loc_z,gal_x,gal_y,gal_z,Star_Distance,Star_Mass,Star_Diameter,Star_Spectra,Star_Luminocity,Luminosity Fixed,Age,Metallicity,ProperMotion,PMAngle,RadialVelocity,Temp (K),StarType,ColorCode,PointsOfInterest,,,,,,,,,,
23601," { starName:""A"", id:23601, galX:-12.974, galY:-42.143, galZ:-66.104,  dist:79.46, color:0xfff3e9}, "," { starName:""A"", id:23601, mass:0, diameter:1364160, galX:-12.974, galY:-42.143, galZ:-66.104,  dist:79.46, starType:""G3(V)"", temp:5680, color:0xfff3e9}, ",A,,A,1,0,1,0,,9.80E-01,0.00E+00," 1,364,160 ",0,11/1/1998 0:00,,Fracassini,0,3.251784722,-44.33515,0.85131525,2.344590669,37.453876,42.74823584,-55.53095628,-12.974,-42.143,-66.104,79.46,0,0.98,G3,V,V,0,0,0.21,313,4,5680,G3(V),0xfff3e9,0,,,,,,,,,,
23701," { starName:""A"", id:23701, galX:-48.288, galY:25.019, galZ:-15.24,  dist:56.48, color:0xffcc8e}, "," { starName:""A"", id:23701, mass:0, diameter:807360, galX:-48.288, galY:25.019, galZ:-15.24,  dist:56.48, starType:""M1(V)"", temp:3360, color:0xffcc8e}, ",A,,A,1,0,1,0,,5.80E-01,0.00E+00," 807,360 ",0,11/1/1998 0:00,,Fracassini,0,3.302089722,38.25195278,0.864485068,0.903173806,28.78684376,33.74242644,34.96793795,-48.288,25.019,-15.24,56.48,0,0.58,M1.5e,V,V,0,0,0.772,141.2,-3.7,3360,M1(V),0xffcc8e,0,,,,,,,,,,
23801," { starName:""A"", id:23801, galX:-56.315, galY:-3.262, galZ:-57.425,  dist:80.49, color:0xfff7f8}, "," { starName:""A"", id:23801, mass:0, diameter:0, galX:-56.315, galY:-3.262, galZ:-57.425,  dist:80.49, starType:""G1(V)"", temp:5840, color:0xfff7f8}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.317195556,-1.156777778,0.868439766,1.590985908,51.98741516,61.42726028,-1.624948971,-56.315,-3.262,-57.425,80.49,0,0,G1.5,V,V,0,0.354813,0.272,110.9,22.5,5840,G1(V),0xfff7f8,0,,,,,,,,,,
23901," { starName:""Zeta(1) Reticuli"", id:23901, galX:3.422, galY:-26.258, galZ:-29.348,  dist:39.53, color:0xfff5ec}, "," { starName:""Zeta(1) Reticuli"", id:23901, mass:1.79019E+30, diameter:974, galX:3.422, galY:-26.258, galZ:-29.348,  dist:39.53, starType:""G2(V)"", temp:5760, color:0xfff5ec}, ",Zet(1) Ret,Zeta(1) Reticuli,Zeta(1) Reticuli,6,1,1,1,9.00E-01,7.00E-04,1.79E+30, 974 ,0,11/1/1998 0:00,,Fracassini,1,3.296144444,-61.42497222,0.862928598,2.642864335,12.29398434,14.36501982,-34.71491113,3.422,-26.258,-29.348,39.53,0.9,0.0007,G2,V,V,0,0.711495,1.495,63.2,12.2,5760,G2(V),0xfff5ec,"This star and <A HREF=""/Scripts/search_star.exe?ID=24100"">Zeta(2) Reticuli</A> may actually form a binary system.&nbsp; If so, the two stars are at least 5500 A.U. apart in space, which would give them a very very long orbital period.",,,,,,,,,,
24001," { starName:""Kappa Ceti"", id:24001, galX:-22.029, galY:0.518, galZ:-20.17,  dist:29.87, color:0xfff4e8}, "," { starName:""Kappa Ceti"", id:24001, mass:1.9891E+30, diameter:1392, galX:-22.029, galY:0.518, galZ:-20.17,  dist:29.87, starType:""G5(V)"", temp:5520, color:0xfff4e8}, ",Kappa Ceti,Kappa Ceti,Kappa Ceti,6,1,1,1,1.00E+00,1.00E-03,1.99E+30," 1,392 ",0,11/1/1998 0:00,,Fracassini,1,3.322693333,3.370163889,0.869879081,1.511975871,19.23041432,22.78869655,1.755954062,-22.029,0.518,-20.17,29.87,1,0.001,G5e,V,V,200,1.4187,0.284,70.1,18.9,5520,G5(V),0xfff4e8,0,,,,,,,,,,
24101," { starName:""Zeta(2) Reticuli"", id:24101, galX:3.432, galY:-26.212, galZ:-29.213,  dist:39.4, color:0xfff7f8}, "," { starName:""Zeta(2) Reticuli"", id:24101, mass:1.9891E+30, diameter:1058, galX:3.432, galY:-26.212, galZ:-29.213,  dist:39.4, starType:""G1(V)"", temp:5840, color:0xfff7f8}, ",Zet(2) Ret,Zeta(2) Reticuli,Zeta(2) Reticuli,6,1,1,1,1.00E+00,7.60E-04,1.99E+30," 1,058 ",0,11/1/1998 0:00,,Fracassini,1,3.303558333,-61.49361111,0.864869549,2.64406231,12.19884111,14.30998019,-34.62329768,3.432,-26.212,-29.213,39.4,1,0.00076,G1,V,V,8700,0.732143,1.483,63.7,11.5,5840,G1(V),0xfff7f8,"This star and <A HREF=""/Scripts/search_star.exe?ID=23900"">Zeta(1) Reticuli</A> may actually form a binary system.&nbsp; If so, the two stars are at least 5500 A.U. apart in space, which would give them a very very long orbital period. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;B. Edvardsson et al. arrived at a metallicity of 55% of Sol for this star, based on their measured iron-to-hydrogen ratio of 59% of the Solar value.",,,,,,,,,,
24201," { starName:""82 Eridani"", id:24201, galX:-3.789, galY:-10.432, galZ:-16.361,  dist:19.77, color:0xfff4e8}, "," { starName:""82 Eridani"", id:24201, mass:1.770299E+30, diameter:1949, galX:-3.789, galY:-10.432, galZ:-16.361,  dist:19.77, starType:""G5(V)"", temp:5520, color:0xfff4e8}, ",82 Eridani,82 Eridani,82 Eridani,5,1,0,1,8.90E-01,1.40E-03,1.77E+30," 1,949 ",1,11/1/1998 0:00,,Fracassini,1,3.332130278,-42.93019722,0.872349667,2.320069617,9.30802154,11.08577538,-13.46548251,-3.789,-10.432,-16.361,19.77,0.89,0.0014,G5,V,V,0,0.48352,3.127,76.3,86.7,5520,G5(V),0xfff4e8,0,,,,,,,,,,
24301," { starName:""A"", id:24301, galX:-60.763, galY:42.122, galZ:-4.587,  dist:74.08, color:0xffdabf}, "," { starName:""A"", id:24301, mass:0, diameter:0, galX:-60.763, galY:42.122, galZ:-4.587,  dist:74.08, starType:""K3(V)"", temp:4600, color:0xffdabf}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.365246667,52.33155278,0.881019517,0.657438428,28.80801439,34.92045817,58.6387782,-60.763,42.122,-4.587,74.08,0,0,K3,V?,V,0,0,0.392,228.1,0,4600,K3(V),0xffdabf,0,,,,,,,,,,
24401," { starName:""A"", id:24401, galX:-33.591, galY:-5.074, galZ:-35.746,  dist:49.31, color:0xffdba7}, "," { starName:""A"", id:24401, mass:0, diameter:1071840, galX:-33.591, galY:-5.074, galZ:-35.746,  dist:49.31, starType:""K5(V)"", temp:4300, color:0xffdba7}, ",A,,A,1,0,1,0,,7.70E-01,0.00E+00," 1,071,840 ",0,11/1/1998 0:00,,Fracassini,0,3.416596389,-4.636236111,0.894462843,1.651713912,30.7640024,38.32970787,-3.985693302,-33.591,-5.074,-35.746,49.31,0,0.77,K5,V,V,0,0,0.802,196.8,-13.6,4300,K5(V),0xffdba7,0,,,,,,,,,,
24501," { starName:""A"", id:24501, galX:-37.742, galY:-1.905, galZ:-36.609,  dist:52.61, color:0xffc97f}, "," { starName:""A"", id:24501, mass:0, diameter:0, galX:-37.742, galY:-1.905, galZ:-36.609,  dist:52.61, starType:""DZ(wd)"", temp:5000, color:0xffc97f}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.377222222,-0.016666667,0.88415471,1.571087215,33.35176389,40.68748839,-0.015303628,-37.742,-1.905,-36.609,52.61,0,0,DZ9,wd,wd,0,0,0.903,163.8,0,5000,DZ(wd),0xffc97f,0,,,,,,,,,,
24601," { starName:""A"", id:24601, galX:-40.383, galY:-41.5, galZ:-84.353,  dist:102.31, color:0xfff1df}, "," { starName:""A"", id:24601, mass:0, diameter:1113600, galX:-40.383, galY:-41.5, galZ:-84.353,  dist:102.31, starType:""G8(V)"", temp:5280, color:0xfff1df}, ",A,,A,1,0,1,0,,8.00E-01,0.00E+00," 1,113,600 ",0,11/1/1998 0:00,,Fracassini,0,3.436425,-29.38163889,0.899653961,2.083602665,55.44067521,69.8143943,-50.19579644,-40.383,-41.5,-84.353,102.31,0,0.8,G8,V,V,0,0,0.301,47.7,20.3,5280,G8(V),0xfff1df,0,,,,,,,,,,
24701," { starName:""A"", id:24701, galX:-22.278, galY:-11.569, galZ:-32.61,  dist:41.15, color:0xffc690}, "," { starName:""A"", id:24701, mass:0, diameter:1002240, galX:-22.278, galY:-11.569, galZ:-32.61,  dist:41.15, starType:""K7(V)"", temp:4000, color:0xffc690}, ",A,,A,1,0,1,0,,7.20E-01,0.00E+00," 1,002,240 ",0,10/24/1998 0:00,,Fracassini,0,3.464561111,-18.1956,0.907019978,1.888369456,24.08462294,30.79191023,-12.84957986,-22.278,-11.569,-32.61,41.15,0,0.72,K7,V,V,0,0,0.616,59.1,37.9,4000,K7(V),0xffc690,0,,,,,,,,,,
24801," { starName:""A"", id:24801, galX:4.98, galY:-36.471, galZ:-38.698,  dist:53.41, color:0xffdba7}, "," { starName:""A"", id:24801, mass:0, diameter:1044000, galX:4.98, galY:-36.471, galZ:-38.698,  dist:53.41, starType:""K5(V)"", temp:4300, color:0xffdba7}, ",A,,A,1,0,1,0,,7.50E-01,0.00E+00," 1,044,000 ",0,10/24/1998 0:00,,Fracassini,0,3.449747222,-62.50116667,0.903141711,2.661647471,15.26877529,19.36571302,-47.37575076,4.98,-36.471,-38.698,53.41,0,0.75,K5,V,V,0,0,0.439,124.1,57.3,4300,K5(V),0xffdba7,0,,,,,,,,,,
24901," { starName:""A"", id:24901, galX:-44.401, galY:10.784, galZ:-25.391,  dist:52.27, color:0xffc690}, "," { starName:""A"", id:24901, mass:0, diameter:0, galX:-44.401, galY:10.784, galZ:-25.391,  dist:52.27, starType:""K7(V)"", temp:4000, color:0xffc690}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.460277778,19.92833333,0.905898604,1.222981296,30.31836537,38.67223616,17.81594151,-44.401,10.784,-25.391,52.27,0,0,K7,V,V,0,0,0.165,105.8,20.2,4000,K7(V),0xffc690,0,,,,,,,,,,
25001," { starName:""A"", id:25001, galX:-43.863, galY:20.778, galZ:-12.741,  dist:50.18, color:0xfff4e8}, "," { starName:""A"", id:25001, mass:0, diameter:0, galX:-43.863, galY:20.778, galZ:-12.741,  dist:50.18, starType:""G5(V)"", temp:5520, color:0xfff4e8}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.484722222,37.89333333,0.912298144,0.909432896,24.23231094,31.31998252,30.8202239,-43.863,20.778,-12.741,50.18,0,0,G5,V?,V,0,0,0.084,234.5,0,5520,G5(V),0xfff4e8,0,,,,,,,,,,
25101," { starName:""Epsilon Eridani"", id:25101, galX:-6.923, galY:-1.845, galZ:-7.677,  dist:10.5, color:0xffe3c4}, "," { starName:""Epsilon Eridani"", id:25101, mass:1.690735E+30, diameter:3480, galX:-6.923, galY:-1.845, galZ:-7.677,  dist:10.5, starType:""K2(V)"", temp:4750, color:0xffe3c4}, ",Eps Eri,Epsilon Eridani,Epsilon Eridani,6,1,1,1,8.50E-01,2.50E-03,1.69E+30," 3,480 ",0,11/1/1998 0:00,Cochran,Fracassini,1,3.548846111,-8.541744444,0.929085739,1.719877891,6.215236306,8.317968286,-1.559564444,-6.923,-1.845,-7.677,10.5,0.85,0.0025,K2,V,V,0,0.588809,0.98,271.1,16.9,4750,K2(V),0xffe3c4,"In addition to the Jupiter-mass planet discovered around this star on August 7, 2000 at the University of Texas MacDonald Observatory, tiny wobbles in the position of Epsilon Eridani also suggest that a second invisible companion is orbiting this star farther out.&nbsp; Such a companion would be 1.07 light-hours (7.7 AUs) away, orbit the main star once every 25 years, and have a mass less than 0.05 x Sol.&nbsp; It is debatable whether this object would be a <A HREF=""http:/brown_dwarfs.html"">brown dwarf</A> or a star too dim to be seen from an Earth-based telescope. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Asymmetric, primordial dust rings made up of 1-millimeter-size particles extend 60 AUs from this star.&nbsp; The irregular shape of this ring may be due to yet another undiscovered planet orbiting just inside the ring, at 30 AUs. <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;As of the late 1990s, this is officially the star about which Babylon 5 orbits.",,,,,,,,,,
25201," { starName:""A"", id:25201, galX:-8.173, galY:-22.107, galZ:-31.798,  dist:39.58, color:0xffce81}, "," { starName:""A"", id:25201, mass:0, diameter:0, galX:-8.173, galY:-22.107, galZ:-31.798,  dist:39.58, starType:""M3(V)"", temp:3020, color:0xffce81}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.548853611,-43.29818333,0.929087703,2.326492186,17.24232849,23.07582879,-27.14377707,-8.173,-22.107,-31.798,39.58,0,0,M3.5,V?,V,0,0,0.342,296,-36,3020,M3(V),0xffce81,0,,,,,,,,,,
25301," { starName:""A"", id:25301, galX:-6.301, galY:-26.061, galZ:-34.344,  dist:43.57, color:0xffc690}, "," { starName:""A"", id:25301, mass:0, diameter:946560, galX:-6.301, galY:-26.061, galZ:-34.344,  dist:43.57, starType:""K7(V)"", temp:4000, color:0xffc690}, ",A,,A,1,0,1,0,,6.80E-01,0.00E+00," 946,560 ",0,11/1/1998 0:00,,Fracassini,0,3.583591111,-47.58090556,0.938181959,2.40123979,17.37703589,23.70264089,-32.16470641,-6.301,-26.061,-34.344,43.57,0,0.68,K7,V,V,0,0,0.504,51.3,19.5,4000,K7(V),0xffc690,0,,,,,,,,,,
25401," { starName:""A"", id:25401, galX:-2.485, galY:-6.765, galZ:-9.52,  dist:11.94, color:0xffcd75}, "," { starName:""A"", id:25401, mass:0, diameter:0, galX:-2.485, galY:-6.765, galZ:-9.52,  dist:11.94, starType:""M5(V)"", temp:2680, color:0xffcd75}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.6,-43.48722222,0.942477796,2.329791537,5.091867682,7.008354618,-8.217021909,-2.485,-6.765,-9.52,11.94,0,0,M5.5,V,V,0,0,0.831,118.8,-20,2680,M5(V),0xffcd75,0,,,,,,,,,,
25501," { starName:""10 Tauri"", id:25501, galX:-33.591, galY:-3.226, galZ:-29.395,  dist:44.75, color:0xfff9f9}, "," { starName:""10 Tauri"", id:25501, mass:3.18256E+30, diameter:1531, galX:-33.591, galY:-3.226, galZ:-29.395,  dist:44.75, starType:""F8(V)"", temp:6150, color:0xfff9f9}, ",10 Tauri,10 Tauri,10 Tauri,5,1,0,1,1.60E+00,1.10E-03,3.18E+30," 1,531 ",0,11/1/1998 0:00,,Fracassini,1,3.614548889,0.401636111,0.946286686,1.563786454,26.16466152,36.30254243,0.313689227,-33.591,-3.226,-29.395,44.75,1.6,0.0011,F8,V,V,5900,1.19866,0.535,206.1,27.9,6150,F8(V),0xfff9f9,"B. Edvardsson et al. calculated a heavy element abundance of 63% of Sol for this star, based on their measurement of an iron-to-hydrogen ratio of 78% of the Solar value.&nbsp; Don C. Barry lists an age of 8400 million years.",,,,,,,,,,
25601," { starName:""A"", id:25601, galX:-48.674, galY:13.44, galZ:-22.502,  dist:55.28, color:0xffce81}, "," { starName:""A"", id:25601, mass:0, diameter:0, galX:-48.674, galY:13.44, galZ:-22.502,  dist:55.28, starType:""M3(V)"", temp:3020, color:0xffce81}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.608333333,24.80333333,0.944659458,1.137896495,29.40677179,40.66120239,23.19023055,-48.674,13.44,-22.502,55.28,0,0,M3.1,V,V,0,0,0.232,27,0,3020,M3(V),0xffce81,0,,,,,,,,,,
25701," { starName:""A"", id:25701, galX:-57.958, galY:-9.805, galZ:-53.416,  dist:79.42, color:0xfff9fc}, "," { starName:""A"", id:25701, mass:0, diameter:0, galX:-57.958, galY:-9.805, galZ:-53.416,  dist:79.42, starType:""F9(V)"", temp:6000, color:0xfff9fc}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.672801389,-2.782919444,0.961537155,1.619367434,45.39529601,65.05332242,-3.856000761,-57.958,-9.805,-53.416,79.42,0,0,F9,V,V,16200,0.205204,0.724,106.9,120.3,6000,F9(V),0xfff9fc,0,,,,,,,,,,
25801," { starName:""A"", id:25801, galX:-108.411, galY:-16.14, galZ:-97.056,  dist:146.39, color:0xffebd1}, "," { starName:""A"", id:25801, mass:0, diameter:0, galX:-108.411, galY:-16.14, galZ:-97.056,  dist:146.39, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.679839722,-1.667327778,0.963379786,1.599896686,83.51642848,120.1536341,-4.259400393,-108.411,-16.14,-97.056,146.39,0,0,K0,0,V,0,0,0.432,119.4,48,5050,K0(V),0xffebd1,0,,,,,,,,,,
25901," { starName:""A"", id:25901, galX:-57.122, galY:-3.106, galZ:-45.033,  dist:72.8, color:0xffc891}, "," { starName:""A"", id:25901, mass:0, diameter:0, galX:-57.122, galY:-3.106, galZ:-45.033,  dist:72.8, starType:""M0(V)"", temp:3530, color:0xffc891}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.686253056,3.611519444,0.965058793,1.507763421,41.36771376,59.7287459,4.58575745,-57.122,-3.106,-45.033,72.8,0,0,M0p,V,V,0,0,0.234,192.2,4.2,3530,M0(V),0xffc891,0,,,,,,,,,,
26001," { starName:""A"", id:26001, galX:-13.177, galY:-77.867, galZ:-94.285,  dist:122.99, color:0xffd7ae}, "," { starName:""A"", id:26001, mass:0, diameter:0, galX:-13.177, galY:-77.867, galZ:-94.285,  dist:122.99, starType:""K4(V)"", temp:4450, color:0xffd7ae}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.695688056,-50.57421667,0.96752887,2.453482924,44.31364681,64.32108414,-95.00336279,-13.177,-77.867,-94.285,122.99,0,0,K4,V,V,0,0,0.074,293.1,0,4450,K4(V),0xffd7ae,0,,,,,,,,,,
26101," { starName:""Delta Eridani"", id:26101, galX:-20.135, galY:-5.941, galZ:-20.728,  dist:29.5, color:0xffebd1}, "," { starName:""Delta Eridani"", id:26101, mass:0, diameter:3898, galX:-20.135, galY:-5.941, galZ:-20.728,  dist:29.5, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",Delta Eri,Delta Eridani,Delta Eridani,6,1,1,1,,2.80E-03,0.00E+00," 3,898 ",0,11/1/1998 0:00,,Fracassini,1,3.720806389,-8.236597222,0.974104835,1.714552067,16.40532253,24.15066462,-4.226202929,-20.135,-5.941,-20.728,29.5,0,0.0028,K0e,IV,V,0,1.03768,0.752,352.3,-5.1,5050,K0(V),0xffebd1,0,,,,,,,,,,
26201," { starName:""A"", id:26201, galX:-76.151, galY:40.47, galZ:-9.761,  dist:86.79, color:0xffebd1}, "," { starName:""A"", id:26201, mass:0, diameter:1085760, galX:-76.151, galY:40.47, galZ:-9.761,  dist:86.79, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",A,,A,1,0,1,0,,7.80E-01,0.00E+00," 1,085,760 ",0,11/1/1998 0:00,,Fracassini,0,3.746900278,46.03601667,0.980936199,0.767316261,33.51382828,50.06898291,62.46938742,-76.151,40.47,-9.761,86.79,0,0.78,K0,V?,V,0,0,0.337,107.6,20.3,5050,K0(V),0xffebd1,0,,,,,,,,,,
26301," { starName:""A"", id:26301, galX:-56.296, galY:14.524, galZ:-25.114,  dist:63.33, color:0xffe3c4}, "," { starName:""A"", id:26301, mass:0, diameter:988320, galX:-56.296, galY:14.524, galZ:-25.114,  dist:63.33, starType:""K2(V)"", temp:4750, color:0xffe3c4}, ",A,,A,1,0,1,0,,7.10E-01,0.00E+00," 988,320 ",0,11/1/1998 0:00,,Fracassini,0,3.689166667,24.71833333,0.965821575,1.139380025,32.71818163,47.31719396,26.48193057,-56.296,14.524,-25.114,63.33,0,0.71,K2,V?,V,0,0,0.023,241.7,2,4750,K2(V),0xffe3c4,0,,,,,,,,,,
26401," { starName:""A"", id:26401, galX:-50.411, galY:8.522, galZ:-27.246,  dist:57.93, color:0xffc97f}, "," { starName:""A"", id:26401, mass:0, diameter:0, galX:-50.411, galY:8.522, galZ:-27.246,  dist:57.93, starType:""DQ(wd)"", temp:5000, color:0xffc97f}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.694722222,18.29472222,0.967276016,1.251493188,31.21601685,45.2854121,18.18451657,-50.411,8.522,-27.246,57.93,0,0,DQ8,wd,wd,0,0,1.204,159.4,0,5000,DQ(wd),0xffc97f,0,,,,,,,,,,
26501," { starName:""A"", id:26501, galX:-57.492, galY:3.778, galZ:-36.029,  dist:67.95, color:0xffd1ae}, "," { starName:""A"", id:26501, mass:0, diameter:0, galX:-57.492, galY:3.778, galZ:-36.029,  dist:67.95, starType:""K8(V)"", temp:3850, color:0xffd1ae}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.747520278,11.91991389,0.981098514,1.362754583,36.97286177,55.25610978,14.0346829,-57.492,3.778,-36.029,67.95,0,0,K8,V,V,0,0,0.32,67.8,81.9,3850,K8(V),0xffd1ae,0,,,,,,,,,,
26601," { starName:""A"", id:26601, galX:-16.218, galY:-28.22, galZ:-41.729,  dist:52.92, color:0xffebd1}, "," { starName:""A"", id:26601, mass:0, diameter:1169280, galX:-16.218, galY:-28.22, galZ:-41.729,  dist:52.92, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",A,,A,1,0,1,0,,8.40E-01,0.00E+00," 1,169,280 ",0,11/1/1998 0:00,,Fracassini,0,3.735893333,-37.71824444,0.978054588,2.22910388,23.38524519,34.72022348,-32.3753423,-16.218,-28.22,-41.729,52.92,0,0.84,K0,V,V,0,0,0.361,35.9,32,5050,K0(V),0xffebd1,0,,,,,,,,,,
26701," { starName:""A"", id:26701, galX:-42.791, galY:11.171, galZ:-17.417,  dist:47.53, color:0xffc690}, "," { starName:""A"", id:26701, mass:0, diameter:0, galX:-42.791, galY:11.171, galZ:-17.417,  dist:47.53, starType:""K7(V)"", temp:4000, color:0xffc690}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.772255556,26.21544444,0.987574195,1.113250506,23.48311062,35.59214999,20.99626811,-42.791,11.171,-17.417,47.53,0,0,K7,V?,V,0,0,0.41,119,36.3,4000,K7(V),0xffc690,0,,,,,,,,,,
26801," { starName:""Beta Reticuli"", id:26801, galX:8.788, galY:-70.684, galZ:-69.771,  dist:99.71, color:0xffebd1}, "," { starName:""Beta Reticuli"", id:26801, mass:0, diameter:4594, galX:8.788, galY:-70.684, galZ:-69.771,  dist:99.71, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",Beta Ret,Beta Reticuli,Beta Reticuli,6,1,1,1,,3.30E-03,0.00E+00," 4,594 ",1,11/1/1998 0:00,,Fracassini,1,3.736661667,-63.19303611,0.978255737,2.673722871,25.1131902,37.30190613,-88.9942671,8.788,-70.684,-69.771,99.71,0,0.0033,K0,IV,V,0,0,0.325,75.6,50.8,5050,K0(V),0xffebd1,0,,,,,,,,,,
26901," { starName:""A"", id:26901, galX:-59.845, galY:14.17, galZ:-26.868,  dist:67.11, color:0xe4e8ff}, "," { starName:""A"", id:26901, mass:0, diameter:12, galX:-59.845, galY:14.17, galZ:-26.868,  dist:67.11, starType:""F0(V)"", temp:7350, color:0xe4e8ff}, ",A,,A,1,0,1,0,,8.77E-06,0.00E+00, 12 ,0,11/1/1998 0:00,,Fracassini,1,3.735,23.84166667,0.977820713,1.154680744,34.30286025,50.90397839,27.12657115,-59.845,14.17,-26.868,67.11,0,0.00000877,F0,V,V,0,0,0.044,158.1,4.3,7350,F0(V),0xe4e8ff,0,,,,,,,,,,
27001," { starName:""Tau(6) Eridani"", id:27001, galX:-30.387, galY:-22.55, galZ:-44.566,  dist:58.46, color:0xe7e8ff}, "," { starName:""Tau(6) Eridani"", id:27001, mass:0, diameter:1239, galX:-30.387, galY:-22.55, galZ:-44.566,  dist:58.46, starType:""F3(V)"", temp:6900, color:0xe7e8ff}, ",Tau(6) Eri,Tau(6) Eridani,Tau(6) Eridani,6,1,1,1,,8.90E-04,0.00E+00," 1,239 ",0,11/1/1998 0:00,,Fracassini,1,3.7808025,-22.75028611,0.98981178,1.967863725,29.5893167,45.06605999,-22.60739203,-30.387,-22.55,-44.566,58.46,0,0.00089,F3,V,V,1700,1.35,0.552,196.9,6.9,6900,F3(V),0xe7e8ff,0,,,,,,,,,,
27101," { starName:""A"", id:27101, galX:-64.644, galY:15.208, galZ:-28.643,  dist:72.32, color:0xf6f3ff}, "," { starName:""A"", id:27101, mass:0, diameter:0, galX:-64.644, galY:15.208, galZ:-28.643,  dist:72.32, starType:""F6(V)"", temp:6450, color:0xf6f3ff}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.752222222,23.98972222,0.982329481,1.152096687,36.67615938,54.958941,29.40334228,-64.644,15.208,-28.643,72.32,0,0,F6,V,V,0,0,0.041,166.5,7.1,6450,F6(V),0xf6f3ff,0,,,,,,,,,,
27201," { starName:""A"", id:27201, galX:11.648, galY:-98.429, galZ:-95.885,  dist:137.91, color:0xfff4e8}, "," { starName:""A"", id:27201, mass:0, diameter:1183200, galX:11.648, galY:-98.429, galZ:-95.885,  dist:137.91, starType:""G5(V)"", temp:5520, color:0xfff4e8}, ",A,,A,1,0,1,0,,8.50E-01,0.00E+00," 1,183,200 ",0,11/1/1998 0:00,,Fracassini,0,3.800313889,-63.16269444,0.99491985,2.673193309,33.90529322,52.21896709,-123.0559981,11.648,-98.429,-95.885,137.91,0,0.85,G5,V,V,0,0,0.365,74.4,19.3,5520,G5(V),0xfff4e8,0,,,,,,,,,,
27301," { starName:""vB 170 Hyades"", id:27301, galX:-119.213, galY:25.552, galZ:-50.444,  dist:131.94, color:0xffd49a}, "," { starName:""vB 170 Hyades"", id:27301, mass:0, diameter:932640, galX:-119.213, galY:25.552, galZ:-50.444,  dist:131.94, starType:""K6(V)"", temp:4150, color:0xffd49a}, ",vB 170 Hya,vB 170 Hyades,vB 170 Hyades,5,1,0,1,,6.70E-01,0.00E+00," 932,640 ",0,11/1/1998 0:00,,Fracassini,0,3.850819167,23.90385556,1.0081421,1.153595343,64.34434166,102.0280873,53.46249807,-119.213,25.552,-50.444,131.94,0,0.67,K6,V,V,0,0,0.166,106,38,4150,K6(V),0xffd49a,0,,,,,,,,,,
27401," { starName:""A"", id:27401, galX:-22.276, galY:-5.739, galZ:-20.918,  dist:31.09, color:0xffbb7b}, "," { starName:""A"", id:27401, mass:0, diameter:0, galX:-22.276, galY:-5.739, galZ:-20.918,  dist:31.09, starType:""M4(V)"", temp:2850, color:0xffbb7b}, ",A,,A,1,0,1,0,,,0.00E+00, -   ,0,10/19/1998 0:00,,,0,3.805,-5.773611111,0.996146671,1.67156485,16.81295744,25.96402738,-3.127594036,-22.276,-5.739,-20.918,31.09,0,0,M4,V,V,0,0,1.428,196.8,0,2850,M4(V),0xffbb7b,0,,,,,,,,,,
