ComponentID,JSON_Short,JSON_All,Name,Star_Name2,Star_Name3,NameQuality?,StarNameLen,HasSpaces,Has+-,Mass,Diameter,MassKG,DiamKM,IsClosed,LastUpdated,MassSource,DiameterSource,IsDiameterArcsec,Star_RA,Star_DEC,theta,phi,loc_x,loc_y,loc_z,gal_x,gal_y,gal_z,Star_Distance,Star_Mass,Star_Diameter,Star_Spectra,Star_Luminocity,Luminosity Fixed,Age,Metallicity,ProperMotion,PMAngle,RadialVelocity,Temp (K),StarType,ColorCode,PointsOfInterest,,,,,,,,,,
702," { starName:""UV Ceti"", id:702, galX:-2.138, galY:0.219, galZ:-8.276,  dist:8.55, color:0xffbb7b}, "," { starName:""UV Ceti"", id:702, mass:1.9891E+29, diameter:194880, galX:-2.138, galY:0.219, galZ:-8.276,  dist:8.55, starType:""M6(V)"", temp:2510, color:0xffbb7b}, ",B,,UV Ceti,5,1,0,1,1.00E-01,1.40E-01,1.99E+29," 194,880 ",0,11/1/1998 0:00,,Fracassini,0,1.606944444,-17.78833333,0.420697072,1.881261312,7.431358835,3.324856034,-2.612037178,-2.138,0.219,-8.276,8.55,0.1,0.14,M6e,V,V,0,0,3.368,80.4,0,2510,M6(V),0xffbb7b,"Properly, only the less bright star in this system (Luyten 726-8 B) bears the name UV Ceti, since it is a variable star — the UV indicates that this was the 35th variable star discovered in the constellation Cetus.&nbsp; It is an extreme <a href=""/flare.html"">flare star</a>; in less than a minute, it can quintuple its total brightness, afterwhich it will fall back down to normal brightness levels within two or three minutes; and then flare suddenly again after several hours.&nbsp; In 1952, UV Ceti was observed flaring to 75 times its normal brightness in only 20 seconds! <BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;If van de Kamp's orbital data are to be believed, these two stars would have to be exceedingly small and light -- their masses would be only 0.044 x Sol for the ""A"" star and 0.035 x Sol for UV Ceti.&nbsp; This would mean that, although each of these stars is brighter than Wolf 359, Wolf 359 would have a higher mass than both of these stars <I>combined</I>.&nbsp; However, if we assume that Worley & Behall's orbital data are the more accurate, the two stars' total mass would be 0.23 x Sol, which is more in keeping with the measurements of both their luminosities and their diameters.",,,,,,,,,,
801," { starName:""W 406"", id:801, galX:9.131, galY:-0.013, galZ:-42.396,  dist:43.37, color:0xffc97f}, "," { starName:""W 406"", id:801, mass:0, diameter:0, galX:9.131, galY:-0.013, galZ:-42.396,  dist:43.37, starType:""DC(wd)"", temp:5000, color:0xffc97f}, ",W 406,,W 406,5,1,0,1,,,0.00E+00, -   ,0,10/18/1998 0:00,,,0,0.001666667,-33.50527778,0.000436332,2.155573741,36.16341951,0.015779269,-23.94083833,9.131,-0.013,-42.396,43.37,0,0,DC9,wd,wd,0,0,0.758,168.6,0,5000,DC(wd),0xffc97f,0,,,,,,,,,,
901," { starName:""BD+33°4828"", id:901, galX:-41.468, galY:98.479, galZ:-54.608,  dist:120, color:0xfff5ec}, "," { starName:""BD+33°4828"", id:901, mass:0, diameter:724, galX:-41.468, galY:98.479, galZ:-54.608,  dist:120, starType:""G2(V)"", temp:5760, color:0xfff5ec}, ",BD+33°4828,,BD+33°4828,3,1,1,0,,5.20E-04,0.00E+00, 724 ,0,11/1/1998 0:00,,Fracassini,1,0.081601944,34.65971667,0.021363339,0.965870153,98.68276689,2.108514192,68.24416228,-41.468,98.479,-54.608,120,0,0.00052,G2,V,V,0,0.316228,0.776,83,6.4,5760,G2(V),0xfff5ec,0,,,,,,,,,,
1001," { starName:""BD+22°4950"", id:1001, galX:-22.545, galY:61.6, galZ:-51.667,  dist:83.5, color:0xffefdd}, "," { starName:""BD+22°4950"", id:1001, mass:0, diameter:0, galX:-22.545, galY:61.6, galZ:-51.667,  dist:83.5, starType:""G9(V)"", temp:5200, color:0xffefdd}, ",BD+22°4950,,BD+22°4950,3,1,1,0,,,0.00E+00, -   ,0,10/18/1998 0:00,,,0,0.082306944,23.26956111,0.021547908,1.16466587,76.69000096,1.652764867,32.98730242,-22.545,61.6,-51.667,83.5,0,0,G9,V,V,0,0,0.38,91.5,0,5200,G9(V),0xffefdd,0,,,,,,,,,,
1101," { starName:""-37°15492"", id:1101, galX:3.102, galY:-0.82, galZ:-13.853,  dist:14.22, color:0xffbb7b}, "," { starName:""-37°15492"", id:1101, mass:7.75749E+29, diameter:668160, galX:3.102, galY:-0.82, galZ:-13.853,  dist:14.22, starType:""M4(V)"", temp:2850, color:0xffbb7b}, ",-37°15492,,-37°15492,3,1,1,0,3.90E-01,4.80E-01,7.76E+29," 668,160 ",0,11/1/1998 0:00,,Fracassini,0,0.09011,-36.64272222,0.023590743,2.210332476,11.40656478,0.269139266,-8.486827678,3.102,-0.82,-13.853,14.22,0.39,0.48,M4,V,V,0,0,6.097,112.5,22.9,2850,M4(V),0xffbb7b,0,,,,,,,,,,
1201," { starName:""BD+44°4548"", id:1201, galX:-15.268, galY:32.625, galZ:-10.424,  dist:37.5, color:0xffbe7f}, "," { starName:""BD+44°4548"", id:1201, mass:0, diameter:0, galX:-15.268, galY:32.625, galZ:-10.424,  dist:37.5, starType:""M2(V)"", temp:3190, color:0xffbe7f}, ",BD+44°4548,,BD+44°4548,3,1,1,0,,,0.00E+00, -   ,0,11/8/1998 0:00,,,0,0.086363611,45.78655833,0.022609941,0.771670131,26.14331392,0.591199518,26.8780137,-15.268,32.625,-10.424,37.5,0,0,M2e,V,V,0,0,0.894,100.5,0.1,3190,M2(V),0xffbe7f,0,,,,,,,,,,
1301," { starName:""CP-68°3597"", id:1301, galX:21.244, galY:-25.379, galZ:-40.361,  dist:52.2, color:0xffdba7}, "," { starName:""CP-68°3597"", id:1301, mass:0, diameter:974400, galX:21.244, galY:-25.379, galZ:-40.361,  dist:52.2, starType:""K5(V)"", temp:4300, color:0xffdba7}, ",CP-68°3597,,CP-68°3597,3,1,1,0,,7.00E-01,0.00E+00," 974,400 ",0,11/1/1998 0:00,,Fracassini,0,0.088244444,-66.16733611,0.023102342,2.725634199,21.08666075,0.487237924,-47.74887787,21.244,-25.379,-40.361,52.2,0,0.7,K5,V,V,0,0,0.582,190.7,41,4300,K5(V),0xffdba7,0,,,,,,,,,,
1401," { starName:""BD+28°4704"", id:1401, galX:-14.092, galY:34.88, galZ:-24.125,  dist:44.69, color:0xffebd1}, "," { starName:""BD+28°4704"", id:1401, mass:0, diameter:1002, galX:-14.092, galY:34.88, galZ:-24.125,  dist:44.69, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",BD+28°4704,,BD+28°4704,3,1,1,0,,7.20E-04,0.00E+00," 1,002 ",0,11/1/1998 0:00,,Fracassini,1,0.110208333,29.02155556,0.028852474,1.064274628,39.06233615,1.127357892,21.68084543,-14.092,34.88,-24.125,44.69,0,0.00072,K0e,V,V,40,0,0.422,114.1,-5.5,5050,K0(V),0xffebd1,0,,,,,,,,,,
1501," { starName:""G 158-27"", id:1501, galX:-0.467, galY:6.147, galZ:-14.036,  dist:15.33, color:0xffcd75}, "," { starName:""G 158-27"", id:1501, mass:1.19346E+29, diameter:153120, galX:-0.467, galY:6.147, galZ:-14.036,  dist:15.33, starType:""M5(V)"", temp:2680, color:0xffcd75}, ",G 158-27,,G 158-27,2,1,0,0,6.00E-02,1.10E-01,1.19E+29," 153,120 ",0,10/18/1998 0:00,,,0,0.070277778,-6.208333333,0.018398679,1.679152185,15.23751391,0.280381768,-1.657846722,-0.467,6.147,-14.036,15.33,0.06,0.11,M5.5n,V,V,0,0,2.041,203.6,-42,2680,M5(V),0xffcd75,0,,,,,,,,,,
1601," { starName:""CD -24°8"", id:1601, galX:9.941, galY:17.093, galZ:-104.178,  dist:106.04, color:0xffebd1}, "," { starName:""CD -24°8"", id:1601, mass:0, diameter:1085760, galX:9.941, galY:17.093, galZ:-104.178,  dist:106.04, starType:""K0(V)"", temp:5050, color:0xffebd1}, ",CD -24°8,,CD -24°8,2,1,0,0,,7.80E-01,0.00E+00," 1,085,760 ",0,11/1/1998 0:00,,Fracassini,0,0.125720833,-22.18109167,0.032913637,1.957929408,98.13935228,3.231289947,-40.03383443,9.941,17.093,-104.178,106.04,0,0.78,K0,V,V,0,0,0.348,77.5,-46,5050,K0(V),0xffebd1,0,,,,,,,,,,
